X,Y,count,ACCIDENT_NO,Year,Quarter,AGE,RD_U_DESC,SEX,N_TYPE_DES,Region,DAY_OF_WEEK,Day Week Description,Light,NO_PERSONS_KILLED,Road,Speed,Weather,Death,NO_PERSONS,Lng,Lat
2517180.897,2377494.694,1,T20190024542,2019,4,26,Motorcyclists,M,Non Intersection,FRANKSTON,5,Thursday,Dark Street lights on,1,Not at intersection,50,Clear,1,1,145.1958797,-38.10371083
2486471.113,2417585.491,1,T20190025415,2019,4,39,Motorcyclists,M,Non Intersection,BRIMBANK,1,Sunday,Dusk/Dawn,1,Not at intersection,100,Clear,0.333333333,3,144.8464939,-37.74256973
2492638.307,2423709.057,1,T20200000010,2020,1,26,Motorcyclists,M,Non Intersection,HUME,4,Wednesday,Dark Street lights on,1,Not at intersection,60,Clear,0.25,4,144.9165311,-37.68746314
2511282.183,2372828.95,1,T20200000846,2020,1,38,Motorcyclists,M,Intersection,FRANKSTON,2,Monday,Day,1,T intersection,60,Smoke,0.5,2,145.1287004,-38.14583383
2501298.504,2425031.415,1,T20200003645,2020,1,23,Motorcyclists,M,Intersection,WHITTLESEA,7,Saturday,Dark Street lights on,1,T intersection,60,Clear,0.2,5,145.0147205,-37.67557619
2596049.222,2462691.299,1,T20200004830,2020,1,49,Motorcyclists,M,Non Intersection,MANSFIELD,6,Friday,Day,1,Not at intersection,100,Clear,1,1,146.0839534,-37.33129403
2500554.97,2413195.911,1,T20200005703,2020,1,32,Motorcyclists,M,Intersection,DAREBIN,2,Monday,Day,1,T intersection,60,Clear,0.5,2,145.0063003,-37.78221898
2522285.391,2400800.061,1,T20200006147,2020,1,27,Motorcyclists,M,Non Intersection,KNOX,7,Saturday,Dark Street lights on,1,Not at intersection,80,Clear,0.333333333,3,145.2533687,-37.89363795
2443455.275,2377858.882,1,T20200006298,2020,1,54,Motorcyclists,M,Intersection,GEELONG,2,Monday,Dark Street lights on,1,Cross intersection,80,Clear,0.333333333,3,144.3553697,-38.09886447
2515564.481,2355718.24,1,T20200006362,2020,1,21,Motorcyclists,M,Intersection,MORNINGTON PENINSULA,3,Tuesday,Dark Street lights on,1,T intersection,60,Clear,0.5,2,145.1779149,-38.29990939
2461827.607,2423395.129,1,T20200007288,2020,1,44,Motorcyclists,F,Non Intersection,MELTON,2,Monday,Day,1,Not at intersection,60,Clear,1,1,144.5671775,-37.68953898
2490703.299,2410817.935,1,T20200009203,2020,2,42,Motorcyclists,M,Intersection,MARIBYRNONG,2,Monday,Dusk/Dawn,1,T intersection,60,Clear,0.5,2,144.8944294,-37.80359856
2552190.107,2403830.15,1,T20200010985,2020,2,30,Motorcyclists,M,Non Intersection,YARRA RANGES,1,Sunday,Day,1,Not at intersection,100,Clear,1,1,145.5931427,-37.86513981
2635834.619,2365216.138,1,T20200011843,2020,2,32,Motorcyclists,M,Intersection,LATROBE,5,Thursday,Day,1,T intersection,60,Clear,0.5,2,146.5507983,-38.20451564
2621262.256,2525123.779,1,T20200012505,2020,2,60,Motorcyclists,M,Non Intersection,WANGARATTA,1,Sunday,Day,1,T intersection,100,Clear,1,1,146.3584047,-36.76577879
